"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name"
"ENSG00000102007",0.289951245911819,9.0546512381779,3.63122911090276,0.000321641262165846,0.00422720290656261,0.00597545328866644,"PLP2"
"ENSG00000108819",-0.241922684978048,4.97927779872776,-3.63119890323993,0.000321670521814866,0.00422720290656261,0.00588959204657513,"PPP1R9B"
"ENSG00000070886",0.199241160803101,5.0554921633477,3.63113310301164,0.000321749725656502,0.00422720290656261,0.00566700279199939,"EPHA8"
"ENSG00000106246",-0.212855232606598,6.66981871254447,-3.62963355696351,0.000323559707422112,0.00424676132373193,0.000595348565175513,"PTCD1"
"ENSG00000104081",-0.338326145295606,5.49187327665903,-3.6293456412382,0.000323920240732882,0.00424727561683185,-0.000405424124771514,"BMF"
"ENSG00000078142",0.200942806188803,7.00727226250135,3.6272309264411,0.000326479689785133,0.00427659272536185,-0.00752659443078318,"PIK3C3"
"ENSG00000113732",0.174312534466036,12.0994222353814,3.62660081095149,0.000327249574722584,0.00428206912612925,-0.00965583362818201,"ATP6V0E1"
"ENSG00000213533",0.46550921428631,4.72274122925337,3.62639449358189,0.000327545727965248,0.00428206912612925,-0.0104516040918803,"STIMATE"
"ENSG00000108788",0.148822386961016,6.2835029529973,3.62582050677291,0.000328205326866418,0.00428645237667336,-0.0122921029032117,"MLX"
"ENSG00000168118",0.364166576122497,4.71589811283828,3.62383750192577,0.000330683912523302,0.00431195480739149,-0.0190740586503191,"RAB4A"
"ENSG00000027001",-0.231678107442355,4.49347204319677,-3.62370437088234,0.000330810484580084,0.00431195480739149,-0.0194388465493178,"MIPEP"
"ENSG00000116678",0.137233436973346,4.71232754799663,3.62314984712907,0.000331496359953324,0.00431663782217053,-0.0213109770637816,"LEPR"
"ENSG00000081181",0.342248462711467,4.57005499225606,3.62276330770327,0.000332002428812013,0.00431897254095313,-0.0226763228717468,"ARG2"
"ENSG00000176978",-0.215297748003378,6.49475392289218,-3.62126026819022,0.000333843575296563,0.00433865342644511,-0.0276883950227438,"DPP7"
"ENSG00000136828",-0.201387413019587,5.97299343728572,-3.62079551327984,0.000334423276776115,0.00434103118889706,-0.0292564910419832,"RALGPS1"
"ENSG00000071051",0.164473690817129,8.00443349427358,3.62058719757157,0.000334683421463729,0.00434103118889706,-0.0299592933426212,"NCK2"
"ENSG00000169021",0.189623920689631,7.78941450534097,3.61945788560668,0.000336097018487285,0.0043550924444573,-0.0337686402599457,"UQCRFS1"
"ENSG00000155850",0.195693823327017,5.11381794136119,3.6183682370837,0.000337466282781364,0.00436855226201889,-0.0374431492373581,"SLC26A2"
"ENSG00000135269",0.259265773719946,5.5336450250593,3.61517302666683,0.000341511693620164,0.00441478948764789,-0.0482120980822556,"TES"
"ENSG00000169570",0.228301046871502,7.50278736203369,3.61477723213413,0.000342015962305846,0.00441478948764789,-0.049545445117591,"DTWD2"
"ENSG00000094880",-0.22015339771083,6.8741415747655,-3.61475827476006,0.000342040132810126,0.00441478948764789,-0.0496093050464816,"CDC23"
"ENSG00000117394",0.312409641057144,8.48938254207277,3.61385092327378,0.000343216803845636,0.00442565511846611,-0.0527039984287958,"SLC2A1"
"ENSG00000198677",-0.276442102436346,7.63824543140701,-3.612009078442,0.000345562374528819,0.0044515574114497,-0.0588669687373446,"SKIC3"
"ENSG00000084092",-0.184879393623492,8.2719454965876,-3.61172306828287,0.000345930757710171,0.00445196380200129,-0.0598297054038888,"NOA1"
"ENSG00000214113",-0.251003687046523,4.68975942407277,-3.61079392459877,0.000347130048563544,0.00446305238508206,-0.0629567999414684,"LYRM4"
"ENSG00000168209",0.35186924338843,9.01225391397845,3.61034459003047,0.000347752921160469,0.00446519425383373,-0.0645568085379296,"DDIT4"
"ENSG00000204070",-0.144992945843944,7.07541392483558,-3.60975863072822,0.000348470951670257,0.00446519425383373,-0.0664402688994734,"SYS1"
"ENSG00000136026",0.305115237141507,11.8185094252776,3.60975236955987,0.000348507233182916,0.00446519425383373,-0.066520919253306,"CKAP4"
"ENSG00000109805",0.655585813816949,5.12129614897305,3.60965745661367,0.000348647988950322,0.00446519425383373,-0.0668773907043443,"NCAPG"
"ENSG00000149308",-0.277441399635795,5.61382656068464,-3.60831254686359,0.00035035205047868,0.00448052666525538,-0.0713043745749431,"NPAT"
"ENSG00000161547",-0.139415029890777,10.9739433100162,-3.60818137139042,0.000350523157439212,0.00448052666525538,-0.0717455120151547,"SRSF2"
"ENSG00000122566",0.136720072070457,10.0321523885863,3.6068673575705,0.000352241509636605,0.00449814109455749,-0.0761636608169702,"HNRNPA2B1"
"ENSG00000077254",0.235812135949327,5.84607095497978,3.60517724702998,0.000354463320012687,0.00452214449865606,-0.0818441710291617,"USP33"
"ENSG00000198298",-0.153829019614229,4.55336388439083,-3.60295402905336,0.000357405994937525,0.00455355123337996,-0.0893127003614609,"ZNF485"
"ENSG00000157796",-0.231420257524771,6.53484961485175,-3.60279741987574,0.000357614146950776,0.00455355123337996,-0.08983864119865,"WDR19"
"ENSG00000172845",0.120480521837965,5.94320950926038,3.60189331279442,0.000358818038591406,0.00456323006724276,-0.0928744897165572,"SP3"
"ENSG00000085382",0.204219364338505,5.32315126670081,3.6017083607985,0.000359064785498409,0.00456323006724276,-0.093495441948658,"HACE1"
"ENSG00000160685",0.185249238397215,6.11096223646091,3.60044134967029,0.000360759410509776,0.00457730070848661,-0.0977484693441308,"ZBTB7B"
"ENSG00000177508",0.544464739956773,5.8741137396469,3.60039787082073,0.000360864593950446,0.00457730070848661,-0.0979900888397989,"IRX3"
"ENSG00000070081",0.371726750593595,8.06035266743396,3.59867108149486,0.000363186835798511,0.00460233979745822,-0.103783970823401,"NUCB2"
"ENSG00000143545",0.296258878946653,6.54436914261994,3.5973025895398,0.000364989894159603,0.00462075807577344,-0.108278477489628,"RAB13"
"ENSG00000003436",0.243910444003287,5.644337302062,3.59661194870457,0.000365926983862029,0.00462818846478893,-0.11059431380962,"TFPI"
"ENSG00000152256",0.333651111890046,4.11559211511321,3.59522472610414,0.000367841475680182,0.00464795486048276,-0.115295504978128,"PDK1"
"ENSG00000114013",-0.455683535076648,7.62377283887331,-3.59379473945053,0.000369820675506727,0.00466769206220578,-0.120131562551419,"CD86"
"ENSG00000158164",0.385609722759976,3.7994961426469,3.59357071502842,0.000370109804130413,0.00466769206220578,-0.120845623622405,"TMSB15A"
"ENSG00000119574",0.245967325130175,5.99354626769272,3.59179063474515,0.000372531926918266,0.00469065932797773,-0.12674947719825,"ZBTB45"
"ENSG00000077157",0.168104076381257,5.04662969923046,3.59151239345683,0.000372916497447585,0.00469065932797773,-0.127681187269243,"PPP1R12B"
"ENSG00000196387",0.363845191984272,4.54517054526685,3.59148698375725,0.000372995608209472,0.00469065932797773,-0.127852948086305,"ZNF140"
"ENSG00000115053",-0.213590428353801,7.7962190998868,-3.59082797848688,0.000373864046112142,0.0046971113093766,-0.129972712063844,"NCL"
"ENSG00000213780",-0.214129028464025,6.39051209725067,-3.58993356709803,0.000375105733872837,0.00470522640244978,-0.132966724137018,"GTF2H4"
"ENSG00000113638",0.393080828182273,5.16664457757952,3.58988291571261,0.000375221958703342,0.00470522640244978,-0.133225960800551,"TTC33"
"ENSG00000067369",-0.317884329065939,6.04995811518059,-3.58882169521425,0.000376659182260741,0.0047187719544457,-0.136696430160976,"TP53BP1"
"ENSG00000091157",-0.179046138762073,6.56230831893665,-3.58827474343923,0.000377418887338803,0.0047238119639744,-0.138517743470919,"WDR7"
"ENSG00000148450",0.261938162412989,10.6796578621402,3.58540578280624,0.000381451148974325,0.00476976332638946,-0.148112680297099,"MSRB2"
"ENSG00000026036",0.129029329007497,4.88945888190746,3.58414745642587,0.000383232422839576,0.00478750749779837,-0.152318767194545,"RTEL1-TNFRSF6B"
"ENSG00000143228",0.254783900743159,4.34167676272237,3.58371247145297,0.000383849996445929,0.00479069443156359,-0.153772430149224,"NUF2"
"ENSG00000213585",0.15441582338881,7.22401725319407,3.58011519053662,0.000388993180083955,0.00485030458600909,-0.165787778640489,"VDAC1"
"ENSG00000157349",-0.152018955727311,6.07936010126235,-3.57931197834857,0.000390150362877817,0.00486014829986439,-0.168469069487785,"DDX19B"
"ENSG00000198835",0.287328173631546,4.32331339828033,3.57829377026103,0.000391624026875899,0.00487391220642068,-0.171871181941288,"GJC2"
"ENSG00000100129",-0.189699484209399,11.3354372464407,-3.57768056327002,0.000392510681442632,0.0048803515302232,-0.173913351455805,"EIF3L"
"ENSG00000183943",-0.231686022158011,6.41402395762534,-3.57183331194448,0.000401080950831362,0.00498222455558093,-0.193407541347984,"PRKX"
"ENSG00000162976",-0.303918195352498,8.57435786698652,-3.5705777010421,0.000402962503075415,0.00500089709215752,-0.197623326034981,"SLC66A3"
"ENSG00000101203",0.208262662384329,4.78983297086523,3.56903593404902,0.00040524283235566,0.00502447890735906,-0.202723238218612,"COL20A1"
"ENSG00000102977",-0.199830129664334,6.53903063287871,-3.5685453560404,0.000405976865884559,0.00502886245210516,-0.204356237648836,"ACD"
"ENSG00000096433",-0.405560937222944,7.60105322281941,-3.56684930744562,0.000408575533325919,0.00505631350558864,-0.210092258300463,"ITPR3"
"ENSG00000154930",-0.243968389299702,7.11526890709703,-3.5643644333643,0.000412283418510613,0.00509266567693691,-0.218264897639318,"ACSS1"
"ENSG00000115392",-0.210169334992989,5.18740722828841,-3.56433426713544,0.000412329253632931,0.00509266567693691,-0.218365196341065,"FANCL"
"ENSG00000042493",0.333991359159357,7.28391473398383,3.56413131478632,0.000412668906711011,0.00509266567693691,-0.219095219633558,"CAPG"
"ENSG00000110344",0.232843121190795,8.21130256198922,3.56316730252603,0.00041410603347023,0.00510563381005227,-0.222244591682248,"UBE4A"
"ENSG00000143398",0.206061734790285,5.05958953965499,3.56277125965388,0.000414710664608194,0.00510832325640867,-0.22356090670637,"PIP5K1A"
"ENSG00000125772",0.222808721459513,9.20917562605661,3.56197202379954,0.000415933364673351,0.00511861385557513,-0.226216886305644,"GPCPD1"
"ENSG00000108559",-0.168946017842183,7.89870705284366,-3.56138741103907,0.000416829866236396,0.0051248747367874,-0.228159289952222,"NUP88"
"ENSG00000117676",0.163093832471374,7.4757986937372,3.56107670556429,0.00041730706903018,0.00512597354216718,-0.229191502774791,"RPS6KA1"
"ENSG00000161031",0.339350159895568,5.14857852556334,3.56057338219132,0.000418108375291482,0.00513104772165972,-0.2309109865907,"PGLYRP2"
"ENSG00000184990",-0.202690389118246,8.06049165401011,-3.55971298466411,0.000419407629979975,0.00514221766738899,-0.233721007531071,"SIVA1"
"ENSG00000140987",-0.162069689947508,7.7116355725229,-3.55845869737962,0.000421348377323572,0.00516122474799411,-0.237885609207482,"ZSCAN32"
"ENSG00000162694",-0.159742009659602,4.46144385765229,-3.55741356593606,0.000422971927447504,0.00517631478247561,-0.241354707805955,"EXTL2"
"ENSG00000172775",-0.139202100570328,6.71506349814824,-3.5550305192885,0.000426695809635961,0.00521705690652959,-0.249261189909385,"PSME3IP1"
"ENSG00000105707",0.22866307814071,3.93718628772507,3.55438001017816,0.000427717659010818,0.0052247174668632,-0.251418594052939,"HPN"
"ENSG00000111052",0.327688109028996,8.12654735923719,3.55383588817286,0.00042860686272911,0.00522707952177244,-0.253278631914736,"LIN7A"
"ENSG00000040633",0.17908237679651,8.40498771494608,3.55375476148143,0.000428701989982698,0.00522707952177244,-0.25349187567594,"PHF23"
"ENSG00000092203",0.164242334716232,7.28366310016981,3.55284522290431,0.000430137671434295,0.005239750786495,-0.256507236163973,"TOX4"
"ENSG00000133135",0.178890913461985,4.26488497971968,3.54958786484855,0.000435316379623396,0.00529478611392255,-0.267300337406295,"RNF128"
"ENSG00000189241",-0.166725786516563,8.27237471865229,-3.549500049474,0.000435456798504488,0.00529478611392255,-0.267591181764372,"TSPYL1"
"ENSG00000135828",0.190373193315656,9.47993736415902,3.54808096091825,0.000437731849645662,0.00531755685364588,-0.272290270633037,"RNASEL"
"ENSG00000101654",-0.171580869973766,7.45591173227224,-3.54767018130795,0.000438392478584019,0.00532069181767216,-0.273650175950933,"RNMT"
"ENSG00000147036",0.137696453551046,5.28056812453639,3.54698444869052,0.000439497378194401,0.00532616541699397,-0.275919999231005,"LANCL3"
"ENSG00000101294",-0.197829302890227,6.18301175919856,-3.54689020962511,0.000439649426491671,0.00532616541699397,-0.276231905214028,"HM13"
"ENSG00000205670",-0.170959599160049,5.76740808459097,-3.54619357409803,0.000440774930526596,0.00532821516087213,-0.278537342022225,"SMIM11"
"ENSG00000105258",-0.178099425980537,7.87381282503504,-3.5461145459925,0.000440902780971814,0.00532821516087213,-0.278798849978378,"POLR2I"
