"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name"
"ENSG00000198467",-0.570673795138305,0.691800609731563,-1.36381110291335,0.176344179595961,0.691021075037778,-4.61353355119919,"TPM2"
"ENSG00000159648",0.3492893849562,0.665242481564544,1.36357570658132,0.176418011480236,0.691021075037778,-4.64313510213828,"TEPP"
"ENSG00000155975",-0.144326606949069,6.35469312695654,-1.36355528378244,0.176424418181848,0.691021075037778,-5.13590242853418,"VPS37A"
"ENSG00000148057",0.224681122762004,4.25722641473697,1.36345551804276,0.176455717572821,0.691021075037778,-5.12804530757111,"IDNK"
"ENSG00000142546",-0.168446846137246,5.97294881418188,-1.36343932526932,0.176460798110562,0.691021075037778,-5.15228647234818,"NOSIP"
"ENSG00000167220",-0.168208190678706,5.06088448459179,-1.36343882278514,0.176460955768458,0.691021075037778,-5.16166871250417,"HDHD2"
"ENSG00000181609",0.650750022233175,-1.58181339867379,1.36303446581046,0.176587860235651,0.691021075037778,-4.48899263188296,"OR52D1"
"ENSG00000104043",0.288196152384723,5.99329959466471,1.36302772490399,0.176589976406441,0.691021075037778,-5.15293071339308,"ATP8B4"
"ENSG00000197889",-0.200572734708587,5.15493851862759,-1.36282826768528,0.176652600662461,0.691021075037778,-5.16467733494997,"MEIG1"
"ENSG00000213639",0.323821095319113,8.07341093899849,1.36281191183982,0.176657736710022,0.691021075037778,-5.02090197627733,"PPP1CB"
"ENSG00000127995",-0.236938337990507,4.25259197837723,-1.36262327409006,0.176716980753267,0.691021075037778,-5.11019137383235,"CASD1"
"ENSG00000141293",-0.28422105502921,4.58513690645533,-1.36248571237172,0.176760193235383,0.691021075037778,-5.14273537236156,"SKAP1"
"ENSG00000111490",0.243025118341234,3.50611649809777,1.36224840185641,0.176834758812448,0.691021075037778,-5.05901896291475,"TBC1D30"
"ENSG00000212124",-0.354598620717291,3.95975459170802,-1.36224739010585,0.176835076766701,0.691021075037778,-5.07683425862664,"TAS2R19"
"ENSG00000167900",0.350507323111313,2.91386373847171,1.36222168133137,0.176843156190372,0.691021075037778,-4.98925870323473,"TK1"
"ENSG00000100526",0.297993131791945,2.94787231959516,1.36214258678086,0.176868014766892,0.691021075037778,-4.97766515440143,"CDKN3"
"ENSG00000213337",-0.208272704049784,2.37482179426368,-1.36206182196223,0.176893401026641,0.691021075037778,-4.87498910906686,"ANKRD39"
"ENSG00000234444",-0.141080761725902,4.50659865788383,-1.36201939083438,0.17690673922404,0.691021075037778,-5.14041538667717,"ZNF736"
"ENSG00000196793",-0.426750593200674,0.228389854972487,-1.36199135889095,0.176915551465758,0.691021075037778,-4.56931435244507,"ZNF239"
"ENSG00000138286",-0.173816511874985,4.41183526622581,-1.36170807201744,0.177004625429762,0.69122189258252,-5.13073058215681,"FAM149B1"
"ENSG00000126243",-0.345006112509553,1.6045012729257,-1.36153727556003,0.177058345441,0.69128459311298,-4.75194560912217,"LRFN3"
"ENSG00000196510",-0.114731523791237,5.45445968581755,-1.36125062156325,0.177148533514765,0.691489618062527,-5.16817550206415,"ANAPC7"
"ENSG00000175073",0.233787562509639,5.14471290587278,1.36094826201132,0.177243700682854,0.691589623657904,-5.16450521404984,"VCPIP1"
"ENSG00000156689",-0.482439559258769,0.522898762979005,-1.36092979458763,0.177249514530172,0.691589623657904,-4.60777866178426,"GLYATL2"
"ENSG00000183067",0.241442230073758,2.92934310706236,1.36079011856844,0.17729349151193,0.691614185591915,-5.00147478597295,"IGSF5"
"ENSG00000089063",-0.138315553580678,5.9286754734937,-1.36041571363598,0.177411413691421,0.69175619065223,-5.1589875542831,"TMEM230"
"ENSG00000115307",-0.177259658169062,5.65151940497073,-1.36040467068085,0.177414892671668,0.69175619065223,-5.16857336143812,"AUP1"
"ENSG00000103245",0.1437272099605,4.85407831961978,1.36013937898411,0.17749848590369,0.69175619065223,-5.16279371531969,"CIAO3"
"ENSG00000152620",-0.167248489145157,3.17849861181469,-1.35985614418836,0.177587765956185,0.69175619065223,-4.99744517004459,"NADK2"
"ENSG00000213397",0.166996310539691,3.41832669145513,1.35982963658261,0.177596123311705,0.69175619065223,-5.06228337236301,"HAUS7"
"ENSG00000184307",-0.328165465934793,1.54014535091423,-1.35966659653755,0.177647533366431,0.69175619065223,-4.74425122933622,"ZDHHC23"
"ENSG00000127083",-0.366955228136134,-0.319271855610306,-1.35942012816638,0.177725271598699,0.69175619065223,-4.53161926093072,"OMD"
"ENSG00000171817",-0.262642639118578,2.80725614249633,-1.35938662449733,0.177735840933412,0.69175619065223,-4.95721782765987,"ZNF540"
