gene_id,gene_name,chr,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000205060,SLC35B4,7,0.147166947,2.840447858,1.257864195,0.210834864,0.655734755,-5.090849712
ENSG00000205076,LGALS7,19,-0.582072446,-1.366873315,-1.110620125,0.268908502,0.708011282,-4.718195375
ENSG00000205078,SYCE1L,16,-0.221878006,1.147800493,-0.667187594,0.50590795,0.852200375,-5.353145404
ENSG00000205084,TMEM231,16,0.106594196,1.849647922,0.790095511,0.430999754,0.814766659,-5.362864307
ENSG00000205085,FAM71F2,7,0.119343143,4.722449106,1.550450796,0.12361471,0.541614796,-4.923094554
ENSG00000205086,C2orf91,2,0.089199716,3.477659133,0.898883038,0.370479553,0.778501725,-5.546830704
ENSG00000205089,CCNI2,5,-0.220797295,0.452774429,-1.188936106,0.236765877,0.679743612,-4.822752445
ENSG00000205090,TMEM240,1,-0.17846338,0.565633764,-0.676479202,0.500012558,0.84919316,-5.228203509
ENSG00000205097,FRG2,4,0.512624676,-0.347343978,2.1402981,0.03431426,0.317419897,-3.605778091
ENSG00000205108,FAM205A,9,0.42746069,-1.1608817,1.726900639,0.086707801,0.464425396,-4.158374742
ENSG00000205111,CDKL4,2,0.524178655,-1.282383832,1.109580934,0.269354482,0.708778806,-4.726961758
ENSG00000205116,TMEM88B,1,0.064625246,-2.0952413,0.126911711,0.899218491,0.977008495,-5.031880943
ENSG00000205126,ACCSL,11,-0.20778848,-0.704123584,-0.620613072,0.536007908,0.865782729,-5.054724933
ENSG00000205129,C4orf47,4,-0.423916326,-2.246751623,-1.00003324,0.319266971,0.741486,-4.723451484
ENSG00000205133,TRIQK,8,0.118516014,5.988420181,0.863113676,0.38976273,0.791119404,-5.722863575
ENSG00000205138,SDHAF1,19,-0.247611827,1.94741567,-1.457492468,0.147540908,0.57838026,-4.731030942
ENSG00000205155,PSENEN,19,0.00819931,5.554742262,0.089282985,0.929002916,0.98374118,-6.077436329
ENSG00000205177,C11orf91,11,1.241178492,0.587707901,2.827761153,0.005477823,0.141805301,-2.26993895
ENSG00000205186,FABP9,8,-0.17574911,-3.040503007,-0.413490437,0.679970748,0.916784185,-4.909461924
ENSG00000205189,ZBTB10,8,-0.063181747,0.724707381,-0.350727267,0.72639576,0.930439513,-5.348266271
ENSG00000205208,C4orf46,4,0.060305765,2.122675047,0.439557041,0.661032907,0.911677034,-5.597054533
ENSG00000205209,SCGB2B2,19,0.017766026,1.739889885,0.073670675,0.94139267,0.985699187,-5.599250773
ENSG00000205212,CCDC144NL,17,0.180597154,3.060457121,0.572416269,0.568089722,0.87944659,-5.704455354
ENSG00000205213,LGR4,11,1.066840338,2.635023307,3.903957352,0.000155348,0.029628136,0.741432567
ENSG00000205220,PSMB10,16,-0.293739173,5.978947874,-2.244050146,0.026626025,0.284620883,-3.721785784
ENSG00000205221,VIT,2,0.176372361,-0.764743322,0.44804393,0.654913393,0.909112118,-5.126680471
ENSG00000205236,AC105052.1,7,-0.047098885,-0.800426734,-0.175400815,0.861054483,0.969028577,-5.177422492
ENSG00000205238,SPDYE2,7,-0.079936837,4.527037775,-0.560731696,0.576005277,0.88280118,-5.888824775
ENSG00000205250,E2F4,16,0.079602332,6.015663692,0.799368377,0.425625084,0.812507132,-5.77187947
ENSG00000205268,PDE7A,8,0.000100067,7.000937521,0.000803721,0.999360032,0.999577876,-6.042087811
ENSG00000205269,TMEM170B,6,0.141400893,4.580754356,0.958153818,0.339873626,0.759070398,-5.610230137
ENSG00000205277,MUC12,7,-0.407970385,0.407197362,-1.114906456,0.2670744,0.706730613,-4.849218523
ENSG00000205279,CTXN3,5,-0.288344083,-1.962433685,-0.675648535,0.500538098,0.84922132,-4.91592488
ENSG00000205301,MGAT4D,4,0.135517669,-1.096010748,0.281510082,0.778794478,0.945111922,-5.139181812
ENSG00000205302,SNX2,5,0.056179935,6.279241574,0.373432101,0.709472741,0.925920227,-6.005766882
ENSG00000205307,SAP25,7,-0.467142187,4.732944576,-3.531758709,0.000582849,0.05295844,-0.407494938
ENSG00000205309,NT5M,17,0.213094667,3.033993623,0.768557788,0.443635965,0.820650523,-5.596852867
ENSG00000205323,SARNP,12,0.038659816,4.094769294,0.445097508,0.657035294,0.909565632,-5.91120999
ENSG00000205336,ADGRG1,16,-0.166441158,6.213566389,-2.263611149,0.025358783,0.277871704,-3.675753041
ENSG00000205339,IPO7,11,0.034440302,4.391065503,0.236248003,0.813635043,0.957681234,-6.012896279
ENSG00000205352,PRR13,12,-0.003622404,8.260969191,-0.030548371,0.975679464,0.993882293,-5.962869787
ENSG00000205356,TECPR1,7,0.015711192,5.773407248,0.157338387,0.875237373,0.971991695,-6.068479439
ENSG00000205358,MT1H,16,0.398355997,-1.213962549,0.637607134,0.52492018,0.859062415,-4.958862553
ENSG00000205359,SLCO6A1,5,0.153455223,-1.616184959,0.34218374,0.732799367,0.932674031,-5.055718932
ENSG00000205362,MT1A,16,0.384390013,-1.414828908,0.731197839,0.46605555,0.833335677,-4.98253115
ENSG00000205363,INSYN1,15,0.063462188,0.150748068,0.403476583,0.687301507,0.918568117,-5.254938266
ENSG00000205364,MT1M,16,0.192953474,-0.863492688,0.286748051,0.774789979,0.943629414,-5.085142437
ENSG00000205403,CFI,4,0.076762703,2.119045646,0.486301195,0.627623025,0.899453909,-5.605974347
ENSG00000205413,SAMD9,7,-0.10618577,4.852405571,-0.496925336,0.620132918,0.896881236,-5.938346717
ENSG00000205420,KRT6A,12,-0.159636763,-0.713527389,-0.353337302,0.724443296,0.930190568,-5.142272855
ENSG00000205423,CNEP1R1,16,-0.025185008,7.11398781,-0.199699708,0.842046771,0.964245473,-6.01515526
ENSG00000205426,KRT81,12,-0.195203422,-1.201970325,-0.469314352,0.63967973,0.902518611,-5.045657897
ENSG00000205436,EXOC3L4,14,0.287393479,1.720478967,0.877910232,0.381712136,0.785669327,-5.278058809
ENSG00000205439,KRTAP12-3,21,-0.65863942,-1.612287709,-1.207158613,0.229698299,0.672818314,-4.641982058
ENSG00000205442,IZUMO3,9,-0.051412829,-1.779843703,-0.096093139,0.923603726,0.983193279,-5.056289759
ENSG00000205445,KRTAP10-2,21,-0.071681119,-1.80973101,-0.155208752,0.876912364,0.972388506,-5.06159411
ENSG00000205456,TP53TG3D,16,-0.189914095,-0.556870444,-0.467074569,0.641276761,0.903114018,-5.112514065
ENSG00000205464,ATP6AP1L,5,-0.08285193,2.312471832,-0.793714073,0.428897664,0.814097845,-5.455944211
ENSG00000205476,CCDC85C,14,-0.194990115,2.381285611,-1.207683573,0.229496969,0.672703561,-5.078367843
ENSG00000205495,OR52J3,11,0.236694198,-2.15262503,0.527843664,0.598563276,0.889028329,-4.941821036
