"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name"
"ENSG00000283765",-0.157203701252244,-0.172904388154895,-0.438414851768931,0.662247808684058,0.958372017276474,-5.04660353905001,"AC131160.1"
"ENSG00000204267",-0.0916372147007518,4.98230744326474,-0.438405338976449,0.662254674838376,0.958372017276474,-5.85853737440951,"TAP2"
"ENSG00000102024",0.196214853851793,0.284307721584672,0.43837583657502,0.662275969299589,0.958372017276474,-5.20161126491195,"PLS3"
"ENSG00000170631",-0.0540075938442119,3.10906316857058,-0.438265359776433,0.662355712529994,0.958372017276474,-5.67262518263584,"ZNF16"
"ENSG00000253309",-0.105711537034073,2.33639888322234,-0.438242657877015,0.66237209946534,0.958372017276474,-5.50672296235811,"SERPINE3"
"ENSG00000101752",0.0808165386306214,4.50628023755504,0.438189864779132,0.662410207797982,0.958372017276474,-5.82955420479573,"MIB1"
"ENSG00000176101",-0.0712978659428458,4.59751246712777,-0.438066064010156,0.662499576018734,0.958372017276474,-5.83716637735806,"SSNA1"
"ENSG00000121067",-0.0460331180597979,7.20922446772722,-0.43797815327771,0.662563039224613,0.958372017276474,-5.77294186028406,"SPOP"
"ENSG00000160808",-0.0562584064359593,3.61583143630291,-0.437717722988726,0.662751059660333,0.958372017276474,-5.75781118912716,"MYL3"
"ENSG00000143494",-0.0734899071713975,4.04608037585092,-0.437659786248694,0.662792890654066,0.958372017276474,-5.79328217721263,"VASH2"
"ENSG00000137752",0.10614955936437,7.34888522706622,0.437526225252074,0.66288932731323,0.958372017276474,-5.76545160566275,"CASP1"
"ENSG00000179456",0.079255952624143,5.62467763730468,0.43747632199077,0.662925361028203,0.958372017276474,-5.86248829109297,"ZBTB18"
"ENSG00000165899",0.187937719630794,-0.768182281248368,0.437449473611342,0.662944747802334,0.958372017276474,-5.02743263780542,"OTOGL"
"ENSG00000197894",-0.0621132382407934,4.56519474545412,-0.437433232379827,0.662956475440675,0.958372017276474,-5.83427231829679,"ADH5"
"ENSG00000133983",0.108810253769595,3.82695178413055,0.437414554001522,0.662969963023497,0.958372017276474,-5.77672526894779,"COX16"
"ENSG00000072041",0.226469441435093,0.377401887466986,0.437325268267491,0.663034437434987,0.958372017276474,-5.26009751865007,"SLC6A15"
